Class, Wavelength (microns), Slope, Unc_slope, Intercept, Unc_intercept
All, 5000.040995363421, 0.47616366939360133, 0.0010083320603091772, -14.889145603395725, 0.0010462511584097846
0, 3500.02868507946, 0.25548574734464014, 0.0010271271550452222, -13.771086922058355, 0.001340460014961424
1a, 3500.02868507946, 0.3651222542884265, 0.0009896847942851379, -14.02528606686542, 0.001135816563793417
1b, 3500.02868507946, 0.6122539952523817, 0.0016827579753305904, -14.32357534637248, 0.001269413560464652
All, 3500.02868507946, 0.4814049765181425, 0.0010038031188107646, -14.166419011383788, 0.0010415519026034867
0, 3350.027475833156, 0.25644645465835003, 0.0010260974780398073, -13.683202391191358, 0.0013391162272450693
1a, 3350.027475833156, 0.36583956808509255, 0.000989150772376324, -13.937038564660067, 0.0011352036909545475
1b, 3350.027475833156, 0.6130048550162037, 0.0016815252864939274, -14.235420429180163, 0.001268483663267293
All, 3350.027475833156, 0.48219481783443663, 0.0010033168482454042, -14.078278494540228, 0.0010410473454617124
0, 2730.0223042423227, 0.2614232595006909, 0.0010225600705780489, -13.274736119630163, 0.0013344997070451876
1a, 2730.0223042423227, 0.3696412316792267, 0.0009865871665454232, -13.526840724911967, 0.0011322615562642012
1b, 2730.0223042423227, 0.6171389496530945, 0.0016759254299764808, -13.825890833402404, 0.0012642593280366094
All, 2730.0223042423227, 0.48643886109127343, 0.001001349127397839, -13.668723208055507, 0.0010390056269671511
0, 2600.021230860895, 0.2627472746311019, 0.0010220158778032104, -13.177952954390845, 0.0013337895041734998
1a, 2600.021230860895, 0.37067019909521826, 0.000985976040305223, -13.429629528876324, 0.0011315601942647078
1b, 2600.021230860895, 0.6182975274216347, 0.0016746775885684519, -13.728905882772485, 0.001263318000271189
All, 2600.021230860895, 0.4876035619566521, 0.0010009723743370329, -13.571706437180442, 0.0010386147058194276
0, 2250.018447913539, 0.26704485330721317, 0.0010210755848282416, -12.892733462521834, 0.0013325623677580096
1a, 2250.018447913539, 0.37404221516289016, 0.0009842264090675372, -13.143087520909862, 0.0011295522214719868
