Class, Wavelength (microns), Reduced chi-squared (linear space), Reduced chi-squared (log10 space), Correlation coefficient (linear space), Correlation coefficient (log10 space)
1b, 63.100517506719, nan, -162.97095392078802, 0.9706819087550871, 0.9362237217941656
All, 63.100517506719, nan, -606.398113712, 0.8481408690179265, 0.943887461505863
0, 54.12044358217, nan, -52.33278123323121, 0.9604438158911383, 0.9745287233191164
1a, 54.12044358217, nan, -247.82945367375837, 0.9193981666770767, 0.9373275235750498
1b, 54.12044358217, nan, -214.81539977118928, 0.9734659504045422, 0.9229984715285564
All, 54.12044358217, nan, -724.9107802103767, 0.8911808180489944, 0.9391956510897049
0, 46.420380378909, nan, -69.23710019036274, 0.9762284504063756, 0.9701659147283497
1a, 46.420380378909, nan, -310.49343952808, 0.9421780469965284, 0.93070418239977
1b, 46.420380378909, nan, -296.0932274418818, 0.9743559684255172, 0.903492921406928
All, 46.420380378909, nan, -882.1864387081685, 0.924846885166204, 0.9327678945884552
0, 42.990352509969, nan, -81.0180792856857, 0.9813187340274502, 0.9668352459057679
1a, 42.990352509969, nan, -348.62003840393544, 0.9516778632574059, 0.9262499360942659
1b, 42.990352509969, nan, -349.6897610515336, 0.9736425677482611, 0.8910593293774138
All, 42.990352509969, nan, -985.9981543944394, 0.9388190752698754, 0.927891262271568
0, 39.810326245729996, nan, -126.15011600038352, 0.9263829563960339, 0.9492356657426442
1a, 39.810326245729996, nan, -481.3700919308413, 0.9335233356568106, 0.8969703719982216
1b, 39.810326245729996, nan, -453.9522093401287, 0.9530472125224388, 0.859721391902855
All, 39.810326245729996, nan, -1282.6707412727349, 0.9202959916003464, 0.905699799424362
0, 36.870302361795, nan, -141.85828417666173, 0.9307653813053264, 0.9451637860659472
1a, 36.870302361795, nan, -535.481376639011, 0.9407689488746638, 0.8911300072580921
1b, 36.870302361795, nan, -535.4218526046538, 0.9517593566229664, 0.8430182245709704
All, 36.870302361795, nan, -1435.48473059338, 0.9314422255576814, 0.8986035807836679
0, 34.150280071806, nan, -159.00246957650154, 0.9350155538355482, 0.9408935418675758
1a, 34.150280071806, nan, -605.5735635945258, 0.9464357655480328, 0.8828218499001692
1b, 34.150280071806, nan, -642.5689484916028, 0.9501749563723964, 0.8218688866346808
All, 34.150280071806, nan, -1628.6234739343527, 0.9399881947604924, 0.8893201904284286
0, 29.290239773707, nan, -194.84962924704388, 0.9451734435750214, 0.9336490677994345
1a, 29.290239773707, nan, -821.9872681806843, 0.9545307178158497, 0.8569347124773395
1b, 29.290239773707, nan, -971.1916409176215, 0.9465035576255723, 0.7649361552433327
All, 29.290239773707, nan, -2193.368891755372, 0.9515321867361005, 0.862960408911932
0, 25.120206564013, nan, -231.07120544067575, 0.9559865970575255, 0.9293635747244297
1a, 25.120206564013, nan, -1170.8485975209107, 0.960773014989489, 0.8194507377648503
1b, 25.120206564013, nan, -1476.2804595528528, 0.9420927527725664, 0.696601228845457
All, 25.120206564013, nan, -3043.483448786399, 0.9594527475791426, 0.8273071887530803
0, 21.550176549842, nan, -278.1507124019122, 0.9574348819885256, 0.9238344011497508
1a, 21.550176549842, nan, -1605.6008364111285, 0.9668876964768718, 0.7776719232480153
1b, 21.550176549842, nan, -2043.2457394749167, 0.9366059450047208, 0.6352545950267833
All, 21.550176549842, nan, -4041.418879174441, 0.9663882946846648, 0.7886487376081885
0, 19.950163132289, nan, -310.7742583666999, 0.9520680600499115, 0.9203847926136834
1a, 19.950163132289, nan, -1820.1711674612775, 0.9701896785101962, 0.7584267622403291
1b, 19.950163132289, nan, -2296.267962563591, 0.9334298642173035, 0.6106184712652646
