Class, Wavelength (microns), Reduced chi-squared (linear space), Reduced chi-squared (log10 space), Correlation coefficient (linear space), Correlation coefficient (log10 space)
0, 0.8000065592581475, nan, -2301.2665355569297, 0.5553337155967745, 0.5469521897397005
1a, 0.8000065592581475, nan, -3066.836054502321, 0.5298858615052328, 0.5162665699002654
1b, 0.8000065592581475, nan, -2600.6099268285498, 0.6930206798246898, 0.5656327669263435
All, 0.8000065592581475, nan, -13109.511925720755, 0.4995324360882986, 0.33096263426182126
0, 0.6500053359018513, nan, -2552.9129869091184, 0.4991303790560765, 0.5391752516935426
1a, 0.6500053359018513, nan, -3323.926206398434, 0.34392465395279104, 0.5330006989864422
1b, 0.6500053359018513, nan, -2765.8246555433634, 0.7063166209337384, 0.6173007040805805
All, 0.6500053359018513, nan, -14963.264385661601, 0.31180665320408435, 0.3405338696979935
0, 0.20000163981453686, nan, -810.8140298492505, 0.39848869903244805, 0.5676204251026269
1a, 0.20000163981453686, nan, -4236.808234660601, 0.0876691550857157, 0.6564893424268357
1b, 0.20000163981453686, nan, -2031.418440387652, 0.7353812980602172, 0.8357348401047854
All, 0.20000163981453686, nan, -11361.33334144438, 0.08645818835865834, 0.572382301568794
0, 0.10000081990726845, nan, -163.3732445024858, 0.39023594850458904, 0.4370690072783523
1a, 0.10000081990726845, nan, -1264.396091456956, 0.08570048884731442, 0.6407766951030268
1b, 0.10000081990726845, nan, -1020.7006134301663, 0.5122356353562638, 0.596398122686526
All, 0.10000081990726845, nan, -2817.8376290526385, 0.08533372737462874, 0.5392256160208132
0, 0.9000073791654158, nan, -2162.958182714079, 0.5919599691641155, 0.5432904847127938
1a, 0.9000073791654158, nan, -2873.546502524304, 0.620081517310773, 0.48563438027916794
1b, 0.9000073791654158, nan, -2501.4814621902096, 0.6981430901862188, 0.5333292188799623
All, 0.9000073791654158, nan, -12049.258101125073, 0.5981145885117732, 0.313608546778534
0, 0.8500069635410991, nan, -2225.6194849045214, 0.5737210402215839, 0.5183073011095558
1a, 0.8500069635410991, nan, -2971.4752758861364, 0.5804804344363765, 0.5045451870853371
1b, 0.8500069635410991, nan, -2538.1657890487395, 0.6941323305586824, 0.5480918016573948
All, 0.8500069635410991, nan, -12419.440513366058, 0.5539152429920415, 0.3134267534302829
0, 0.4500036895827079, nan, -2726.6482470133865, 0.44422011927338617, 0.5325346414445019
1a, 0.4500036895827079, nan, -4285.9066638770155, 0.13867941656054103, 0.5766769048080868
1b, 0.4500036895827079, nan, -3093.4464024799745, 0.7590284160919902, 0.7088662262436094
All, 0.4500036895827079, nan, -18253.45234470802, 0.1268571811028206, 0.3905986216892214
0, 0.15000122986090264, nan, -342.5515625404976, 0.3849359360489236, 0.5398048810260456
1a, 0.15000122986090264, nan, -2835.906573209616, 0.0815486558444586, 0.6801489867391741
1b, 0.15000122986090264, nan, -1595.4616964893776, 0.6556057879414443, 0.774726445182574
All, 0.15000122986090264, nan, -6748.543005898261, 0.08130638060922445, 0.5928924079840558
0, 0.5000040995363422, nan, -2741.48898728183, 0.45621489662635034, 0.5302124028448885
1a, 0.5000040995363422, nan, -3962.0660143312366, 0.17209243183101647, 0.5734719692877961
1b, 0.5000040995363422, nan, -3052.0305293459746, 0.7441044105425367, 0.6815090650274406
All, 0.5000040995363422, nan, -17433.457046675605, 0.1554807223120185, 0.37512403758377716
0, 0.5500045067380275, nan, -2729.3261214995855, 0.4691707129275468, 0.5443474294114774
1a, 0.5500045067380275, nan, -3768.4396922012875, 0.22134156662118215, 0.563337612241828
1b, 0.5500045067380275, nan, -3021.395072606234, 0.7304778004491164, 0.6642345419392379
All, 0.5500045067380275, nan, -16988.482536683907, 0.19859221791687426, 0.3703661542759904
0, 2.92902397737, nan, -2047.2527008155366, 0.7468685925658458, 0.6105000770302247
1a, 2.92902397737, nan, -3391.26990913656, 0.8407524488672912, 0.48947728976401317
1b, 2.92902397737, nan, -3085.0555733580063, 0.8370671341748127, 0.3486084317522491
All, 2.92902397737, nan, -10540.142772241401, 0.8402574148121759, 0.37387700117022726
0, 0.7500061493045131, nan, -2329.3435981347398, 0.5362999202241705, 0.5271183708221984
1a, 0.7500061493045131, nan, -3156.87194086146, 0.4727110706450819, 0.5243110886727469
1b, 0.7500061493045131, nan, -2637.1306093731732, 0.6950728482294362, 0.584703547290347
All, 0.7500061493045131, nan, -13382.500123550482, 0.43940392021365954, 0.33104085267391137
0, 0.350002868507946, nan, -2409.3156979358805, 0.43015311457807165, 0.5168568243172273
1a, 0.350002868507946, nan, -5114.663924411969, 0.10560191994611867, 0.5779567340554174
1b, 0.350002868507946, nan, -3126.7658535857017, 0.7799197738965489, 0.7593320039121726
All, 0.350002868507946, nan, -18694.787005887785, 0.09964459015253402, 0.4284230258220144
0, 0.3000024597218053, nan, -1915.9418672443828, 0.41347745614174636, 0.5189895094635677
1a, 0.3000024597218053, nan, -5370.667649080622, 0.0988252235349202, 0.5936974703138893
1b, 0.3000024597218053, nan, -3187.021405299715, 0.7809504576849124, 0.784619319567256
All, 0.3000024597218053, nan, -17094.661609147, 0.0945249820831453, 0.48046809016932635
0, 0.6000049194436106, nan, -2390.2016153743734, 0.4821088311198495, 0.5428994491454763
1a, 0.6000049194436106, nan, -3541.4592844018403, 0.27774900878520775, 0.5471135522061051
1b, 0.6000049194436106, nan, -2882.858161533119, 0.7179854645820138, 0.6400454126946106
All, 0.6000049194436106, nan, -14863.825511155881, 0.24985244577627674, 0.36419926714925055
0, 0.2500020497681711, nan, -1514.0336975451964, 0.40706106416185606, 0.5441361116465504
1a, 0.2500020497681711, nan, -5194.7887929771805, 0.09351162736021991, 0.6369954732076526
1b, 0.2500020497681711, nan, -2754.858147691771, 0.7695449083628398, 0.8241127659280857
All, 0.2500020497681711, nan, -16251.31798888196, 0.09079588757325087, 0.524677667199075
0, 1.000008199072, nan, -2212.889290187267, 0.6212097947872819, 0.5219807467370292
1a, 1.000008199072, nan, -2805.746606241964, 0.6825116468202677, 0.47689785154830766
1b, 1.000008199072, nan, -2452.935056916982, 0.7086803697600952, 0.5042978387462415
All, 1.000008199072, nan, -11638.138915413256, 0.6676103579579835, 0.2988472357245902
0, 0.4000032796290737, nan, -2473.584762521768, 0.43275200196341357, 0.5288130999536236
1a, 0.4000032796290737, nan, -4733.441542189679, 0.11758447618660367, 0.5790608737664564
1b, 0.4000032796290737, nan, -3105.8850429833656, 0.7714552020639747, 0.732168315878406
All, 0.4000032796290737, nan, -17869.732545066585, 0.10926327078777481, 0.41443236270330835
0, 0.700005737015892, nan, -2457.2669119926486, 0.5184061597924263, 0.5371057511086773
1a, 0.700005737015892, nan, -3128.529291568996, 0.40782271515417245, 0.5108850031290109
1b, 0.700005737015892, nan, -2669.561974551685, 0.6996017139958612, 0.5975124744415068
All, 0.700005737015892, nan, -14088.912098475053, 0.3738927061239391, 0.3267129625943325
0, 0.050000409953634216, nan, -31797.553496346794, 0.3049479171661999, 0.3948640870906541
1a, 0.050000409953634216, nan, -58300.37768063734, 0.06846958971863837, 0.5416057976214305
1b, 0.050000409953634216, nan, -40944.31599513974, 0.3878812910675852, 0.7574545986237962
All, 0.050000409953634216, nan, -198663.86000293947, 0.06841912619346305, 0.4184697873002008
0, All, nan, -1984455.9030262306, 0.5041098520916847, 0.15785508143831378
1a, All, nan, -3705077.7728567645, 0.5713795884005889, 0.15878835349564047
1b, All, nan, -3584868.055540997, 0.6692495683328911, 0.1528037535825298
All, All, nan, -9319788.29727119, 0.571041744477623, 0.1551515617431831
