Class, Wavelength (microns), Std. Dev. of Model Variance
All, 116.600954658356, 0.1878333288920516
0, 100.000819907268, 0.10596775642350365
1a, 100.000819907268, 0.16908229074074324
1b, 100.000819907268, 0.15282772217196577
All, 100.000819907268, 0.18946458974529162
0, 85.770702480011, 0.125179180275528
1a, 85.770702480011, 0.1911857548709486
1b, 85.770702480011, 0.17157228741551322
All, 85.770702480011, 0.2082520959059706
0, 73.570602450168, 0.13205420924844793
1a, 73.570602450168, 0.19662019331595926
1b, 73.570602450168, 0.18387300317710817
All, 73.570602450168, 0.21349961484545993
0, 63.100517506719, 0.14454846229070673
1a, 63.100517506719, 0.20372575919367478
1b, 63.100517506719, 0.20071196922667808
All, 63.100517506719, 0.22091743337553074
0, 54.12044358217, 0.16015880306818797
1a, 54.12044358217, 0.21268849047071844
1b, 54.12044358217, 0.2229378043016085
All, 54.12044358217, 0.23083770670508255
0, 46.420380378909, 0.17392023983278776
1a, 46.420380378909, 0.22485115428048955
1b, 46.420380378909, 0.25367403800214017
All, 46.420380378909, 0.24399970784426028
0, 42.990352509969, 0.18384773412665706
1a, 42.990352509969, 0.23281166389721947
1b, 42.990352509969, 0.27238710042824604
All, 42.990352509969, 0.2537013729937866
0, 39.810326245729996, 0.23063533677731718
1a, 39.810326245729996, 0.2819867151070135
1b, 39.810326245729996, 0.31769288826093317
All, 39.810326245729996, 0.2955180207152057
0, 36.870302361795, 0.2404878388062839
1a, 36.870302361795, 0.2913192132905136
1b, 36.870302361795, 0.34119136280625967
All, 36.870302361795, 0.3082797517868671
0, 34.150280071806, 0.25053373424211883
1a, 34.150280071806, 0.3044039381526635
1b, 34.150280071806, 0.3706563714066321
All, 34.150280071806, 0.32464858978525485
0, 29.290239773707, 0.2670035585379307
1a, 29.290239773707, 0.34412254374012025
1b, 29.290239773707, 0.4502749511196568
All, 29.290239773707, 0.36967378724831096
0, 25.120206564013, 0.27645479115948984
1a, 25.120206564013, 0.40016634983413346
1b, 25.120206564013, 0.5507545832219428
All, 25.120206564013, 0.4287072238200372
0, 21.550176549842, 0.28837494021055743
1a, 21.550176549842, 0.46251087540744307
1b, 21.550176549842, 0.6501077561681371
All, 21.550176549842, 0.4922276767142803
0, 19.950163132289, 0.2956726026265077
1a, 19.950163132289, 0.4916638864022418
1b, 19.950163132289, 0.6935210250815578
All, 19.950163132289, 0.5220972672348067
0, 18.480151060234, 0.31019839490657525
1a, 18.480151060234, 0.5215217980387513
1b, 18.480151060234, 0.73650938907587
All, 18.480151060234, 0.5543393319163574
0, 17.11013985066, 0.33119355036137105
1a, 17.11013985066, 0.5587892752249216
1b, 17.11013985066, 0.7819110429250071
All, 17.11013985066, 0.5904561772405605
0, 15.850129606354, 0.36033881040985205
1a, 15.850129606354, 0.5998023877923562
1b, 15.850129606354, 0.8287890464863803
All, 15.850129606354, 0.6292468367026507
0, 14.680120452488, 0.38396262087777105
1a, 14.680120452488, 0.6343242214277647
1b, 14.680120452488, 0.8657888075701584
All, 14.680120452488, 0.662509761624989
0, 13.590111209163, 0.39842798374029215
1a, 13.590111209163, 0.6546902571815858
1b, 13.590111209163, 0.8810804605072761
All, 13.590111209163, 0.6839141764779483
0, 12.590103417408, 0.4212757242290823
1a, 12.590103417408, 0.6659618275913557
1b, 12.590103417408, 0.8824885262119445
All, 12.590103417408, 0.7028110595521337
0, 11.660095465835001, 0.4626383269859387
1a, 11.660095465835001, 0.6715527462387992
1b, 11.660095465835001, 0.8772306770025827
All, 11.660095465835001, 0.7301461391009849
0, 11.220092135066999, 0.477243611555891
1a, 11.220092135066999, 0.6804699496796117
1b, 11.220092135066999, 0.8808492402052794
All, 11.220092135066999, 0.7420020580050931
0, 10.800088679676001, 0.4868037181167661
1a, 10.800088679676001, 0.6894311942966309
1b, 10.800088679676001, 0.886102964918198
